"Source:","/home/jakub/KiCAD/LEDregulator_v1-0/LEDregulator.sch"
"Date:","Tue 16 Jul 2019 19:06:23 BST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu16.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Distributor","Manufacturer","Note","Order Code","Package","Part Number","Supplier"
"","","C1","10u/50V","Device:C","Capacitors_SMD:C_1206","~","10µF/50V 1206 ceramic capacitor","Farnell","Murata","","2672214","","GRT31CR61H106KE01L",""
"","","C2","47u/63V","Device:CP","Capacitors_SMD:CP_Elec_8x10.5","~","47µF/63V electrolytic capacitor D8mm x H10.2mm","Farnell","Panasonic","","2326166","","EEE1JA470UP",""
"","","C3","100n","Device:C","Capacitors_SMD:C_0603","~","100nF/50V X7R 0603 ceramic capacitor","Farnell","Multicomp","","1759122","","MC0603B104K500CT",""
"","","C4","100n","Device:C","Capacitors_SMD:C_0603","~","100nF/50V X7R 0603 ceramic capacitor","Farnell","Multicomp","","1759122","","MC0603B104K500CT",""
"","","D1","MAX6006","Reference_Voltage:LM4040DBZ-10","TO_SOT_Packages_SMD:SOT-23","","1.25V shunt reference","Farnell","Maxim Integrated","","2511278","","MAX6006BEUR+T",""
"","","DC1","LDU2430S1000","LEDregulator-rescue:LDU2430S1000-jakub","jakub:XPPOWER_LDU24","","24V/1A adjustable LED driver","Farnell","XP Power","","1738296","","LDU2430S1000",""
"","","F1","T1.25A","Device:Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_lateral_Type-II","~","","","Schurter","1.25Amp 5x20mm fuse in a holder","2309093","","0751.0052","Farnell"
"","","H1","⌀3.2mm","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H2","⌀3.2mm","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H3","⌀3.2mm","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H4","⌀3.2mm","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","J1","2.1mm DC jack","Connector:Barrel_Jack_Switch","jakub:2.1mmBarrelJack","~","2.1mm 2A/16V DC power jack","Farnell","Cliff Electronics","","2450496","","FC681478",""
"","","J2","2way Screw Terminal","Connector:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","~","2way 5.08mm screw terminal","Farnell","Multicomp","","2008004","","MC000034",""
"","","J3","2way Screw Terminal","Connector:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","~","2way 5.08mm screw terminal","Farnell","Multicomp","","2008004","","MC000034",""
"","","JP1","Jumper_3_Bridged12","Jumper:Jumper_3_Bridged12","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","~","","","Multicomp","3way 2.54mm header","1593412","1x3 row","2211S-03G","Farnell"
"","","R1","27k","Device:R","Resistors_SMD:R_0603","~","27kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447315","","MCWR06X2702FTL",""
"","","R2","1k0","Device:R","Resistors_SMD:R_0603","~","1kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447272","","MCWR06X1001FTL",""
"","","R3","120R","Device:R","Resistors_SMD:R_0603","~","120Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447240","","MCWR06X1500FTL",""
"","","R4","120R","Device:R","Resistors_SMD:R_0603","~","120Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447240","","MCWR06X1500FTL",""
"","","R5","120R","Device:R","Resistors_SMD:R_0603","~","120Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447240","","MCWR06X1500FTL",""
"","","R6","6k8","Device:R","Resistors_SMD:R_0603","~","6.8kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447427","","MCWR06X6801FTL",""
"","","R7","2k7","Device:R","Resistors_SMD:R_0603","~","2.7kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447324","","MCWR06X2701FTL",""
"","","R8","820R","Device:R","Resistors_SMD:R_0603","~","820Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447437","","MCWR06X8200FTL",""
"","","R9","820R","Device:R","Resistors_SMD:R_0603","~","820Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447437","","MCWR06X8200FTL",""
"","","R10","390R","Device:R","Resistors_SMD:R_0603","~","390Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447353","","MCWR06X3900FTL",""
"","","R11","270R","Device:R","Resistors_SMD:R_0603","~","270Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447314","","MCWR06X2700FTL",""
"","","R12","100R","Device:R","Resistors_SMD:R_0603","~","100Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447227","","MCWR06X1000FTL",""
"","","R13","220R","Device:R","Resistors_SMD:R_0603","~","220Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447298","","MCWR06X2200FTL",""
"","","R14","820R","Device:R","Resistors_SMD:R_0603","~","820Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447437","","MCWR06X8200FTL",""
"","","R15","150R","Device:R","Resistors_SMD:R_0603","~","150Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447255","","MCWR06X1500FTL",""
"","","R16","180R","Device:R","Resistors_SMD:R_0603","~","180Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447267","","MCWR06X1800FTL",""
"","","R17","47R","Device:R","Resistors_SMD:R_0603","~","47Ω 0603 1% SMD resistor","Farnell","Multicomp","","2694082","","MCWF06P47R0FTL",""
"","","SW1","DPDT Switch","Switch:SW_DPDT_x2","jakub:switchDPDT","","DPDT On-Off-On toggle switch","Farnell","Multicomp","","9473556","","1MD4T1B1M1QE",""
"","","SW2","6pos rotary","jakub:SW_Rotary1x6","jakub:Nidec_Copal_SS-10-16","http://www.farnell.com/datasheets/2604296.pdf","6-position rotary switch","Farnell","Nidec Copal","","2854809","","SS-10-16NP-LE",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Distributor","Manufacturer","Note","Order Code","Package","Part Number","Supplier"
"1","1","C1","10u/50V","Device:C","Capacitors_SMD:C_1206","~","10µF/50V 1206 ceramic capacitor","Farnell","Murata","","2672214","","GRT31CR61H106KE01L",""
"2","1","C2","47u/63V","Device:CP","Capacitors_SMD:CP_Elec_8x10.5","~","47µF/63V electrolytic capacitor D8mm x H10.2mm","Farnell","Panasonic","","2326166","","EEE1JA470UP",""
"3","2","C3, C4","100n","Device:C","Capacitors_SMD:C_0603","~","100nF/50V X7R 0603 ceramic capacitor","Farnell","Multicomp","","1759122","","MC0603B104K500CT",""
"4","1","D1","MAX6006","Reference_Voltage:LM4040DBZ-10","TO_SOT_Packages_SMD:SOT-23","","1.25V shunt reference","Farnell","Maxim Integrated","","2511278","","MAX6006BEUR+T",""
"5","1","DC1","LDU2430S1000","LEDregulator-rescue:LDU2430S1000-jakub","jakub:XPPOWER_LDU24","","24V/1A adjustable LED driver","Farnell","XP Power","","1738296","","LDU2430S1000",""
"6","1","F1","T1.25A","Device:Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_lateral_Type-II","~","","","Schurter","1.25Amp 5x20mm fuse in a holder","2309093","","0751.0052","Farnell"
"7","4","H1, H2, H3, H4","⌀3.2mm","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","","",""
"8","1","J1","2.1mm DC jack","Connector:Barrel_Jack_Switch","jakub:2.1mmBarrelJack","~","2.1mm 2A/16V DC power jack","Farnell","Cliff Electronics","","2450496","","FC681478",""
"9","2","J2, J3","2way Screw Terminal","Connector:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","~","2way 5.08mm screw terminal","Farnell","Multicomp","","2008004","","MC000034",""
"10","1","JP1","Jumper_3_Bridged12","Jumper:Jumper_3_Bridged12","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","~","","","Multicomp","3way 2.54mm header","1593412","1x3 row","2211S-03G","Farnell"
"11","1","R1","27k","Device:R","Resistors_SMD:R_0603","~","27kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447315","","MCWR06X2702FTL",""
"12","1","R2","1k0","Device:R","Resistors_SMD:R_0603","~","1kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447272","","MCWR06X1001FTL",""
"13","3","R3, R4, R5","120R","Device:R","Resistors_SMD:R_0603","~","120Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447240","","MCWR06X1500FTL",""
"14","1","R6","6k8","Device:R","Resistors_SMD:R_0603","~","6.8kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447427","","MCWR06X6801FTL",""
"15","1","R7","2k7","Device:R","Resistors_SMD:R_0603","~","2.7kΩ 0603 1% SMD resistor","Farnell","Multicomp","","2447324","","MCWR06X2701FTL",""
"16","3","R8, R9, R14","820R","Device:R","Resistors_SMD:R_0603","~","820Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447437","","MCWR06X8200FTL",""
"17","1","R10","390R","Device:R","Resistors_SMD:R_0603","~","390Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447353","","MCWR06X3900FTL",""
"18","1","R11","270R","Device:R","Resistors_SMD:R_0603","~","270Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447314","","MCWR06X2700FTL",""
"19","1","R12","100R","Device:R","Resistors_SMD:R_0603","~","100Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447227","","MCWR06X1000FTL",""
"20","1","R13","220R","Device:R","Resistors_SMD:R_0603","~","220Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447298","","MCWR06X2200FTL",""
"21","1","R15","150R","Device:R","Resistors_SMD:R_0603","~","150Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447255","","MCWR06X1500FTL",""
"22","1","R16","180R","Device:R","Resistors_SMD:R_0603","~","180Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447267","","MCWR06X1800FTL",""
"23","1","R17","47R","Device:R","Resistors_SMD:R_0603","~","47Ω 0603 1% SMD resistor","Farnell","Multicomp","","2694082","","MCWF06P47R0FTL",""
"24","1","SW1","DPDT Switch","Switch:SW_DPDT_x2","jakub:switchDPDT","","DPDT On-Off-On toggle switch","Farnell","Multicomp","","9473556","","1MD4T1B1M1QE",""
"25","1","SW2","6pos rotary","jakub:SW_Rotary1x6","jakub:Nidec_Copal_SS-10-16","http://www.farnell.com/datasheets/2604296.pdf","6-position rotary switch","Farnell","Nidec Copal","","2854809","","SS-10-16NP-LE",""
